item_name,item_category,city,base_price,production_cost,fair_wage_multiplier,sustainability_score,local_demand_index,market_avg_price_city,profit_margin_standard,regulatory_adjustment,marketplace
Children Book,Books,Kolkata,579.87,260.16,1.17,9,0.89,609.45,0.22,10.77,Offline Store
Puzzle,Toys,Mumbai,621.97,306.61,1.48,4.8,0.93,658.85,0.3,16.48,Offline Store
Toaster,Kitchen Appliances,Hyderabad,1219.72,590.49,1.38,9.8,0.32,1168.32,0.16,29.56,Own Brand Website
Cold Pressed Oil,Groceries,Kolkata,352.03,226.6,1.2,9,0.62,333.88,0.24,26.04,Flipkart
Cold Pressed Oil,Groceries,Delhi,993.26,610.06,1.15,9.6,0.36,938.02,0.16,8.82,Own Brand Website
Biography,Books,Jaipur,872.69,468.91,1.34,3.3,0.44,926.41,0.26,13.25,Offline Store
Flip Flops,Footwear,Hyderabad,976.23,444.22,1.5,9.7,0.49,1031.28,0.17,5.07,Own Brand Website
Microwave Oven,Kitchen Appliances,Chennai,1239.48,648.4,1.47,8.2,0.91,1224.07,0.2,15.01,Flipkart
Flip Flops,Footwear,Pune,664.18,392.76,1.51,4.1,0.94,688.6,0.26,29.97,Flipkart
Biography,Books,Hyderabad,1057.66,445.68,1.48,9.1,0.41,957,0.13,13.1,Offline Store
Textbook,Books,Jaipur,1856.13,743.83,1.49,9,0.83,1701.04,0.24,28.85,Own Brand Website
Lamp,Home Decor,Mumbai,328.69,134.6,1.53,7.5,0.72,359.22,0.25,14.94,Offline Store
Puzzle,Toys,Jaipur,928.1,411.53,1.22,6.1,0.47,1005.29,0.1,19.68,Offline Store
Sweatshirt,Clothing,Lucknow,1566.06,970.38,1.4,5.9,0.9,1512.48,0.25,28.17,Own Brand Website
Lamp,Home Decor,Pune,343.93,235.29,1.48,7.3,0.54,371.74,0.11,15.8,Flipkart
Cold Pressed Oil,Groceries,Hyderabad,1537.6,989.2,1.16,3.3,0.82,1513.58,0.13,7.14,Offline Store
Treadmill,Fitness Equipment,Jaipur,1317.22,757.2,1.52,3.2,0.86,1419.24,0.19,6.92,Amazon
Sneakers,Footwear,Chennai,1898.81,800.56,1.37,6.5,0.84,1899.8,0.19,27.02,Own Brand Website
Jacket,Clothing,Mumbai,1931.62,1090.94,1.3,8.8,0.84,1861.84,0.22,8.85,Flipkart
Electric Kettle,Kitchen Appliances,Pune,1307.53,850.15,1.15,5.3,0.59,1397.77,0.25,12.92,Offline Store
Lipstick,Cosmetics,Mumbai,561.76,341.95,1.31,7.2,0.72,568.35,0.22,27.19,Offline Store
Curtain,Home Decor,Bangalore,1749.58,778.06,1.37,6.1,0.49,1795.47,0.2,24.37,Flipkart
Yoga Mat,Fitness Equipment,Ahmedabad,277.52,136.21,1.06,8.2,0.89,282.37,0.22,6.16,Offline Store
Rug,Home Decor,Bangalore,1057.18,589.97,1.07,8.5,0.48,1104.42,0.18,29.89,Own Brand Website
Cold Pressed Oil,Groceries,Mumbai,503.19,210.07,1.59,4.7,0.71,490.57,0.23,19.9,Flipkart
Mixer Grinder,Kitchen Appliances,Delhi,1443.82,585.52,1.51,6.4,0.64,1418.13,0.3,25.04,Offline Store
Face Wash,Cosmetics,Jaipur,691.65,439.14,1.29,9.1,0.32,671.65,0.19,23.61,Own Brand Website
Bluetooth Speaker,Electronics,Mumbai,446.37,216.88,1.45,3.5,0.43,468.99,0.28,23.22,Flipkart
Jacket,Clothing,Kolkata,1101.56,473.36,1.5,3.9,0.55,1002.53,0.24,17.59,Amazon
Perfume,Cosmetics,Delhi,1824.45,805.72,1.5,6.6,0.54,1876.84,0.26,16.01,Own Brand Website
Curtain,Home Decor,Hyderabad,542.33,365.93,1.22,10,0.8,562.7,0.1,16.21,Amazon
Sunscreen,Cosmetics,Lucknow,1054.68,540.96,1.13,5.6,0.35,1010.58,0.12,23.81,Own Brand Website
Lamp,Home Decor,Ahmedabad,1375.2,937.86,1.26,8.5,0.68,1415.38,0.21,24.48,Own Brand Website
Wall Art,Home Decor,Delhi,179.78,76.25,1.1,5,0.68,185.02,0.24,12.02,Amazon
Foundation,Cosmetics,Kolkata,1335.4,581.31,1.06,7.9,0.77,1368.02,0.15,28.19,Amazon
Green Tea,Groceries,Pune,1763.78,978.3,1.59,5.1,0.62,1914.73,0.19,16.78,Own Brand Website
Sunscreen,Cosmetics,Chennai,250.85,116.24,1.14,7,0.51,229.63,0.2,21.73,Flipkart
Toaster,Kitchen Appliances,Pune,1499.4,976.49,1.32,5.7,0.74,1353.47,0.23,15.14,Flipkart
Sneakers,Footwear,Mumbai,960.46,469.55,1.12,5.8,0.5,1048.85,0.29,21.1,Own Brand Website
Board Game,Toys,Jaipur,1817.03,1136.34,1.24,7.2,0.44,1885.06,0.11,25.78,Flipkart
Electric Kettle,Kitchen Appliances,Kolkata,1208.14,504.44,1.53,9.1,0.85,1274.42,0.24,14.92,Own Brand Website
Sneakers,Footwear,Chennai,359.04,174.72,1.24,5.5,0.67,338.1,0.14,22.92,Offline Store
Sweatshirt,Clothing,Delhi,114.25,50.82,1.29,4,0.92,118.14,0.19,7.81,Flipkart
Sneakers,Footwear,Delhi,831.85,495.1,1.58,6.3,0.75,781.17,0.22,10.98,Offline Store
Cold Pressed Oil,Groceries,Kolkata,476.45,263.37,1.17,8,0.91,466.31,0.16,9.4,Own Brand Website
Rug,Home Decor,Mumbai,841.75,478.02,1.26,7.4,0.73,774.04,0.24,27.51,Offline Store
Sunscreen,Cosmetics,Bangalore,149.88,84.74,1.38,8,0.55,159.43,0.21,15.22,Amazon
Biography,Books,Hyderabad,1466.59,994.66,1.5,9.5,0.47,1354.69,0.21,6.11,Flipkart
Puzzle,Toys,Pune,1381.72,652.17,1.3,7.6,0.61,1308.78,0.28,24.11,Amazon
Lipstick,Cosmetics,Kolkata,1242.04,757.1,1.28,5.6,0.4,1317.45,0.18,22.31,Offline Store
Boots,Footwear,Bangalore,669.89,427.92,1.11,7.4,0.82,691.36,0.24,18.15,Offline Store
Organic Rice,Groceries,Bangalore,1162.16,487.84,1.19,8.1,0.91,1171.87,0.25,22.09,Offline Store
Sweatshirt,Clothing,Chennai,1998.83,1276.26,1.4,3.8,0.54,1899.17,0.27,16.15,Amazon
Toaster,Kitchen Appliances,Pune,1117.07,770.16,1.51,8.5,0.39,1010.45,0.13,23.51,Flipkart
Sweatshirt,Clothing,Lucknow,880.36,383.17,1.46,4.4,0.68,922.89,0.22,29.84,Amazon
Children Book,Books,Hyderabad,924.91,456.48,1.16,6.5,0.85,1007.58,0.29,18.28,Amazon
Resistance Bands,Fitness Equipment,Hyderabad,1249.99,718.07,1.31,4.1,0.34,1234.15,0.14,27.17,Amazon
Table Clock,Home Decor,Lucknow,1547.23,905.94,1.08,7.4,0.7,1528.42,0.23,26.45,Own Brand Website
Smartwatch,Electronics,Ahmedabad,1540.18,834.82,1.19,6.3,0.91,1638.75,0.11,24.57,Amazon
Cold Pressed Oil,Groceries,Mumbai,424.06,242.28,1.49,6.9,0.56,408.9,0.16,25.94,Own Brand Website
Exercise Bike,Fitness Equipment,Jaipur,1667.6,1078.96,1.21,8.6,0.32,1569.7,0.2,15.17,Flipkart
Sunscreen,Cosmetics,Ahmedabad,312.59,128.95,1.39,5.2,0.31,308.27,0.16,19.42,Flipkart
Laptop,Electronics,Hyderabad,1866.65,919.06,1.6,3.6,0.36,1946.15,0.25,15.57,Own Brand Website
Table Clock,Home Decor,Jaipur,643.49,410.68,1.58,9.9,0.71,674.39,0.26,24.97,Amazon
Honey,Groceries,Kolkata,1987.45,1278.19,1.41,5.6,0.69,2138.64,0.16,5.77,Amazon
Green Tea,Groceries,Mumbai,721.65,496.55,1.49,4.3,0.31,746.06,0.22,7.07,Flipkart
Flip Flops,Footwear,Hyderabad,1935.39,1132.86,1.41,9,0.52,1957.94,0.22,29.18,Offline Store
Cold Pressed Oil,Groceries,Mumbai,349.82,219.57,1.37,8.9,0.84,315.68,0.15,9.52,Flipkart
Microwave Oven,Kitchen Appliances,Hyderabad,977.25,656.31,1.05,6.4,0.88,1060.55,0.23,25.74,Amazon
Curtain,Home Decor,Bangalore,715.73,347.69,1.08,6.5,0.6,697.4,0.12,10.77,Offline Store
Sandals,Footwear,Ahmedabad,486.98,332.7,1.58,3,0.41,524.85,0.11,28.59,Offline Store
Board Game,Toys,Lucknow,822.12,461.71,1.47,4.7,0.37,873.08,0.3,21.47,Amazon
Bluetooth Speaker,Electronics,Chennai,1667.93,1138.18,1.18,5.5,0.44,1521.75,0.25,8.64,Amazon
Cold Pressed Oil,Groceries,Hyderabad,276.15,140.09,1.08,4.3,0.35,296.99,0.26,26.49,Amazon
Microwave Oven,Kitchen Appliances,Chennai,1749.83,1195.75,1.15,9.3,0.64,1633.02,0.23,13.18,Flipkart
Children Book,Books,Kolkata,188.29,79.76,1.28,8.8,0.5,198.31,0.11,14.84,Flipkart
Smartphone,Electronics,Bangalore,342.14,225.49,1.58,5.3,0.94,359.4,0.1,17.13,Offline Store
Action Figure,Toys,Delhi,1684.79,943.76,1.35,6.1,0.56,1525.54,0.22,24.17,Own Brand Website
Kurta,Clothing,Bangalore,1601.34,940.61,1.24,3.2,0.88,1578.62,0.22,9.86,Amazon
Doll,Toys,Bangalore,369.72,157.52,1.49,7.5,0.7,400.73,0.13,9.26,Offline Store
Sneakers,Footwear,Ahmedabad,459.99,242.42,1.53,9.2,0.68,474.54,0.28,20.61,Flipkart
Perfume,Cosmetics,Delhi,536.62,328.13,1.47,7.4,0.48,525.88,0.19,8.63,Offline Store
Perfume,Cosmetics,Delhi,959.22,430.08,1.32,3.4,0.92,910.56,0.19,5.82,Amazon
Toaster,Kitchen Appliances,Hyderabad,466.17,283.42,1.11,7.4,0.3,462.91,0.24,28.16,Flipkart
Lipstick,Cosmetics,Lucknow,1036.39,675.89,1.49,5.1,0.87,1065.47,0.12,28.48,Flipkart
Children Book,Books,Delhi,435.69,235.76,1.31,7.4,0.73,412.42,0.17,8.61,Own Brand Website
Board Game,Toys,Ahmedabad,339.43,219.79,1.46,6.1,0.36,336.03,0.16,24.45,Offline Store
Action Figure,Toys,Mumbai,283.61,151.85,1.38,9.9,0.36,261.71,0.3,15.14,Own Brand Website
Perfume,Cosmetics,Jaipur,1513.06,960.86,1.22,4.5,0.48,1593.07,0.27,22.49,Offline Store
Action Figure,Toys,Ahmedabad,938.33,449.24,1.28,9.4,0.86,905.18,0.17,24.5,Own Brand Website
Flip Flops,Footwear,Lucknow,910.49,520.63,1.28,4.7,0.42,844.85,0.1,12.02,Amazon
Formal Shoes,Footwear,Mumbai,425.68,203.21,1.09,5.4,0.64,463.53,0.17,5.78,Own Brand Website
Cold Pressed Oil,Groceries,Mumbai,788.49,508.71,1.24,5,0.9,756.51,0.29,25.82,Amazon
Lipstick,Cosmetics,Bangalore,1400.07,811.34,1.17,8.1,0.53,1396.05,0.12,12.4,Offline Store
Microwave Oven,Kitchen Appliances,Jaipur,1105.33,597.33,1.24,6.3,0.78,1096.34,0.2,22.53,Offline Store
Air Fryer,Kitchen Appliances,Mumbai,1699.07,948.18,1.57,5.5,0.46,1764.68,0.14,27.5,Flipkart
Cold Pressed Oil,Groceries,Mumbai,834.49,508.58,1.36,3.4,0.76,882.89,0.3,15.4,Flipkart
Treadmill,Fitness Equipment,Jaipur,1055.57,699.27,1.2,4.3,0.39,1156.54,0.15,23.93,Offline Store
Remote Car,Toys,Mumbai,954.37,450.63,1.55,6.2,0.67,901.4,0.16,23.69,Flipkart
Jacket,Clothing,Mumbai,751.79,414.83,1.11,9,0.78,791,0.14,17.38,Flipkart
Dry Fruits,Groceries,Ahmedabad,152.33,75.33,1.24,9.4,0.95,155.92,0.2,16,Own Brand Website
Organic Rice,Groceries,Jaipur,134.76,86.25,1.42,7.5,0.83,146.3,0.18,15.66,Flipkart
Rug,Home Decor,Jaipur,1952.76,1170.34,1.52,4.6,0.51,1910.43,0.16,27.11,Amazon
T-shirt,Clothing,Hyderabad,1071.87,735.4,1.23,3.3,0.39,1011.22,0.23,9.53,Flipkart
Board Game,Toys,Delhi,824.85,526.76,1.12,3.6,0.65,857.53,0.28,21.55,Amazon
Sneakers,Footwear,Hyderabad,1897.74,898.31,1.24,8.9,0.83,1960.32,0.2,5.44,Flipkart
Dry Fruits,Groceries,Mumbai,632.84,283.2,1.08,8.4,0.39,614.79,0.3,15.23,Amazon
Electric Kettle,Kitchen Appliances,Bangalore,368.86,223.87,1.5,5,0.83,352,0.24,8.12,Flipkart
T-shirt,Clothing,Hyderabad,912.86,507.69,1.45,7.6,0.85,855.22,0.23,8.19,Flipkart
Formal Shoes,Footwear,Bangalore,1008.35,562.02,1.06,3.5,0.85,965.35,0.17,21.01,Amazon
Microwave Oven,Kitchen Appliances,Delhi,519.36,237.79,1.28,3.4,0.9,565.07,0.19,10.23,Offline Store
Mixer Grinder,Kitchen Appliances,Pune,994.09,427.44,1.27,3.5,0.76,949.5,0.2,5.34,Flipkart
Fiction Novel,Books,Hyderabad,1096.81,439.8,1.56,6.5,0.37,1061.94,0.11,18.27,Amazon
Board Game,Toys,Pune,332.45,180.17,1.22,8.3,0.61,355.6,0.29,29.24,Amazon
Doll,Toys,Lucknow,594.37,374.61,1.29,6,0.86,552.25,0.2,19.82,Own Brand Website
Remote Car,Toys,Ahmedabad,225.63,148.77,1.22,7.6,0.9,235.55,0.28,6.74,Flipkart
T-shirt,Clothing,Mumbai,1036.2,590.06,1.43,3.8,0.73,962.84,0.11,16.73,Own Brand Website
Lipstick,Cosmetics,Chennai,1240.71,852.91,1.43,7.1,0.44,1154.37,0.22,10.57,Amazon
Kurta,Clothing,Mumbai,1442.55,626.56,1.24,8.4,0.84,1397.9,0.14,28.95,Offline Store
Smartwatch,Electronics,Hyderabad,1546.04,992.74,1.17,6,0.34,1425.26,0.14,12.58,Own Brand Website
Electric Kettle,Kitchen Appliances,Mumbai,1994.65,1050.44,1.43,9.3,0.46,1852.92,0.15,27.06,Own Brand Website
Laptop,Electronics,Hyderabad,1364.8,730.71,1.5,4.7,0.46,1383.15,0.26,11.49,Offline Store
Sweatshirt,Clothing,Kolkata,499.07,270.59,1.12,8.2,0.68,500.32,0.27,23.31,Amazon
Headphones,Electronics,Delhi,383.61,201.83,1.23,8.6,0.77,381.46,0.26,15.25,Own Brand Website
Cold Pressed Oil,Groceries,Chennai,1626.75,666.35,1.12,8.3,0.37,1686.54,0.24,21.55,Own Brand Website
Children Book,Books,Ahmedabad,1654.64,915.82,1.54,7,0.63,1657.75,0.28,11.09,Flipkart
Resistance Bands,Fitness Equipment,Kolkata,1420.57,671.62,1.1,9.7,0.38,1473.47,0.18,25.93,Own Brand Website
Fiction Novel,Books,Lucknow,1569.08,695.31,1.31,3.2,0.58,1631.91,0.15,25.25,Flipkart
Remote Car,Toys,Ahmedabad,201.01,82.49,1.07,5,0.6,185.23,0.3,29.99,Amazon
Rug,Home Decor,Ahmedabad,1087.62,620.38,1.56,8.4,0.41,1151.24,0.15,15.76,Amazon
Air Fryer,Kitchen Appliances,Pune,1111.77,683.85,1.13,3.5,0.86,1184.43,0.2,21.56,Flipkart
Self-Help Book,Books,Lucknow,1466.67,796.34,1.19,6.4,0.92,1565.77,0.19,10.64,Own Brand Website
Fiction Novel,Books,Bangalore,1790.27,1058.9,1.27,3.8,0.79,1724.74,0.22,19.24,Offline Store
Biography,Books,Jaipur,1429.28,802.24,1.4,3.6,0.73,1341.86,0.18,17.81,Flipkart
Jacket,Clothing,Kolkata,1405.07,874.98,1.44,3.7,0.55,1343.43,0.18,21.17,Offline Store
Rug,Home Decor,Delhi,466.55,256.9,1.54,8.1,0.77,499.09,0.18,23.99,Flipkart
Air Fryer,Kitchen Appliances,Ahmedabad,211.54,88.2,1.23,4.4,0.64,198.14,0.3,26.28,Own Brand Website
Jeans,Clothing,Bangalore,1966.81,1263.34,1.57,5.6,0.62,1864.45,0.23,24.71,Flipkart
Dry Fruits,Groceries,Delhi,1047.61,512.19,1.33,3.4,0.77,1037.47,0.28,28.08,Own Brand Website
Dry Fruits,Groceries,Pune,338.46,236.53,1.58,7.4,0.84,305.86,0.29,16.41,Flipkart
Remote Car,Toys,Hyderabad,1828.43,942.62,1.48,5.9,0.54,1991.81,0.24,26,Flipkart
Jacket,Clothing,Delhi,1132.38,764.93,1.46,3.5,0.8,1023.38,0.27,13.3,Amazon
Remote Car,Toys,Delhi,1236.74,772.73,1.4,7.7,0.88,1205.57,0.21,9.37,Own Brand Website
Lipstick,Cosmetics,Kolkata,988.33,439.82,1.4,5.3,0.86,957.41,0.16,17.28,Flipkart
Honey,Groceries,Hyderabad,433.12,199.73,1.48,6.5,0.43,392.54,0.19,23.57,Amazon
Resistance Bands,Fitness Equipment,Jaipur,767.26,363.98,1.27,9.7,0.58,730.38,0.21,25.27,Offline Store
Rug,Home Decor,Chennai,142.43,80.82,1.51,4.5,0.9,144.64,0.2,29.09,Offline Store
Jacket,Clothing,Pune,346.34,215.44,1.5,6.4,0.3,348.03,0.13,19.06,Own Brand Website
Children Book,Books,Lucknow,1503.38,840.87,1.4,3.7,0.36,1608.9,0.11,12.11,Offline Store
Exercise Bike,Fitness Equipment,Ahmedabad,1881.62,1011.67,1.42,4.6,0.48,1885.01,0.23,29.01,Amazon
Rug,Home Decor,Jaipur,1191.4,510.86,1.25,4.7,0.47,1192.68,0.16,12.23,Flipkart
T-shirt,Clothing,Chennai,1939.24,1115.43,1.19,4.9,0.83,2089.13,0.24,15.79,Flipkart
Doll,Toys,Hyderabad,1552.69,1057.72,1.14,9,0.85,1511.23,0.16,19.13,Offline Store
Wall Art,Home Decor,Kolkata,617.36,273.87,1.57,6.4,0.61,571.19,0.2,23.57,Flipkart
Perfume,Cosmetics,Delhi,571.29,291.74,1.15,5.5,0.86,541.25,0.11,18.41,Flipkart
Action Figure,Toys,Pune,1201.04,598.93,1.4,3.3,0.52,1115.66,0.15,14.56,Own Brand Website
Dumbbells,Fitness Equipment,Chennai,1037.48,444,1.11,7.7,0.56,970.36,0.15,23,Amazon
Jacket,Clothing,Mumbai,198.34,109.61,1.25,8.7,0.81,205.85,0.18,20.78,Offline Store
Perfume,Cosmetics,Delhi,1315.71,657.41,1.53,9.9,0.5,1394.98,0.2,16.59,Amazon
Toaster,Kitchen Appliances,Bangalore,834.47,406.89,1.56,8.2,0.59,876.45,0.24,11.68,Flipkart
Microwave Oven,Kitchen Appliances,Chennai,434.65,282.91,1.5,10,0.31,438.16,0.24,19.56,Offline Store
Headphones,Electronics,Hyderabad,1449.84,639.64,1.05,3.7,0.55,1400.24,0.27,7.09,Amazon
Headphones,Electronics,Delhi,941.14,646.89,1.33,3.9,0.49,965.01,0.1,29.2,Offline Store
Resistance Bands,Fitness Equipment,Mumbai,1177.26,719.59,1.32,9.7,0.68,1215.4,0.27,26.54,Offline Store
Boots,Footwear,Jaipur,153.53,74.46,1.19,3,0.87,147.92,0.17,7.49,Own Brand Website
Resistance Bands,Fitness Equipment,Chennai,1980.47,1283.1,1.36,8.4,0.81,2042.55,0.13,23.01,Offline Store
Exercise Bike,Fitness Equipment,Mumbai,1182.27,729.72,1.35,9.7,0.71,1199.69,0.27,14.48,Own Brand Website
Foundation,Cosmetics,Delhi,700.01,385.67,1.37,4.5,0.74,742.34,0.22,18.07,Offline Store
Smartphone,Electronics,Chennai,659.82,443.98,1.46,6.4,0.73,638.29,0.11,10.1,Offline Store
Boots,Footwear,Kolkata,251.03,138.68,1.39,5.7,0.64,230.22,0.25,5.82,Amazon
Air Fryer,Kitchen Appliances,Jaipur,1305.41,691.87,1.15,6.7,0.81,1282.83,0.17,8.56,Amazon
Kurta,Clothing,Delhi,1229.69,797.34,1.36,4.2,0.73,1114.13,0.27,28.04,Offline Store
Curtain,Home Decor,Pune,1234.37,820.28,1.1,4.6,0.51,1301.81,0.2,13.71,Flipkart
Smartwatch,Electronics,Hyderabad,400.33,257.49,1.06,5.4,0.46,370.63,0.13,17.34,Amazon
Perfume,Cosmetics,Ahmedabad,909.51,505.24,1.45,9.2,0.38,833.6,0.16,18.66,Own Brand Website
Boots,Footwear,Bangalore,289.79,178.16,1.36,8.2,0.53,284.06,0.26,11.68,Offline Store
Smartwatch,Electronics,Lucknow,824.69,333.21,1.36,9,0.32,843.46,0.27,17.35,Own Brand Website
Resistance Bands,Fitness Equipment,Hyderabad,694.74,485.61,1.09,4.5,0.88,666.58,0.26,13.33,Offline Store
Air Fryer,Kitchen Appliances,Delhi,1642.76,995.05,1.31,6.7,0.42,1516.56,0.24,26.21,Amazon
Dumbbells,Fitness Equipment,Jaipur,1471.74,991.75,1.54,8.4,0.88,1373.79,0.25,23.84,Amazon
Children Book,Books,Bangalore,392.56,264.14,1.05,6,0.31,394.39,0.18,20.58,Amazon
Laptop,Electronics,Mumbai,1556.24,981.32,1.45,3.7,0.57,1654.58,0.23,22.03,Offline Store
Smartwatch,Electronics,Ahmedabad,531.16,264.26,1.58,8.9,0.41,535.91,0.2,16.09,Own Brand Website
Lamp,Home Decor,Delhi,994.17,589.41,1.58,9.1,0.87,1034.61,0.1,16.01,Offline Store
Lamp,Home Decor,Pune,1071.14,699.18,1.56,6.2,0.5,1036.3,0.22,11.87,Amazon
Wall Art,Home Decor,Ahmedabad,1830.4,962.05,1.59,3.8,0.42,1834.64,0.27,13.85,Own Brand Website
Honey,Groceries,Mumbai,1691.19,892.33,1.52,4.9,0.61,1616.35,0.14,15.53,Amazon
Honey,Groceries,Mumbai,735.94,468.16,1.46,5.5,0.94,805.68,0.28,19.66,Flipkart
Board Game,Toys,Lucknow,883.39,436.31,1.06,7.4,0.66,906.34,0.22,8.44,Own Brand Website
Cold Pressed Oil,Groceries,Jaipur,1421.22,722.17,1.33,5.6,0.31,1528.25,0.13,19.55,Own Brand Website
Microwave Oven,Kitchen Appliances,Kolkata,1777.95,829.23,1.28,5.6,0.36,1750.75,0.2,5.66,Offline Store
Table Clock,Home Decor,Lucknow,1027.47,439.91,1.54,7.6,0.34,1094.68,0.17,10.64,Amazon
Sunscreen,Cosmetics,Chennai,582.45,337.42,1.09,3.4,0.71,638.59,0.2,15.33,Flipkart
Dumbbells,Fitness Equipment,Bangalore,1899.68,897.21,1.18,9.3,0.72,1730.15,0.23,25.5,Own Brand Website
Sneakers,Footwear,Ahmedabad,620.51,319.48,1.16,7.4,0.73,566.96,0.24,21.46,Own Brand Website
Headphones,Electronics,Bangalore,166.76,94.49,1.39,6,0.89,161.04,0.11,21.8,Own Brand Website
Mixer Grinder,Kitchen Appliances,Chennai,1249.92,870.84,1.18,5.8,0.6,1340.29,0.18,24.3,Offline Store
Self-Help Book,Books,Delhi,398.19,208.23,1.14,9.6,0.42,391.75,0.12,28.03,Flipkart
Rug,Home Decor,Mumbai,1285.26,885.21,1.07,4.2,0.55,1316.46,0.17,22.8,Amazon
